,Cluster_1,Cluster_2
Untreated,2399,7601
E2F4_E2F1,1132,8868
E2F4_MYC,1317,8683
E2F4_TFDP1,1094,8906
E2F4_TP53,1250,8750
ETS2_MYCN,2812,7188
ETS2_POU2F1,2937,7063
ETS2_RB1,3037,6963
ETS2_STAT3,3133,6867
MYC_E2F1,1536,8464
MYCN_POU2F1,3062,6938
MYCN_RB1,3047,6953
MYCN_STAT3,3210,6790
POU2F1_RB1,3260,6740
POU2F1_STAT3,3221,6779
RB1_STAT3,3398,6602
TFDP1_E2F1,1195,8805
TFDP1_MYC,1265,8735
TFDP1_TP53,1168,8832
TP53_E2F1,1281,8719
TP53_MYC,1413,8587
